"Please enter a valid DHL post number with 6 to 10 digits.","Please enter a valid DHL post number with 6 to 10 digits."
"DHL post number is required for lockers.","DHL post number is required for lockers."
"DHL Post number is required for locker delivery.","DHL Post number is required for locker delivery."
"No shipping address selected","No shipping address selected"
"Please enter both neighbor name and address.","Please enter both neighbor name and address."
"Please enter a drop-off location with no more than %1 characters.","Please enter a drop-off location with no more than %1 characters."
"Please enter a drop-off location without HTML tags.","Please enter a drop-off location without HTML tags."
"Please enter a drop-off location without special characters.","Please enter a drop-off location without special characters."
"Please do not use a parcel shop, post office, or similar pickup address as drop-off location.","Please do not use a parcel shop, post office, or similar pickup address as drop-off location."
"More information","More information"
"%1 Excl. Tax","%1 Excl. Tax"
"Please select a delivery day","Please select a delivery day"
"No delivery days are currently available for this address.","No delivery days are currently available for this address."
"Remove delivery day","Remove delivery day"
"Please provide your delivery address before selecting a pickup point.","Please provide your delivery address before selecting a pickup point."
"Close location finder","Close location finder"
"Germany","Germany"
"Filter location types","Filter location types"
"Postoffice","Postoffice"
"Show Post offices","Show Post offices"
"Locker","Locker"
"Show Lockers","Show Lockers"
"Servicepoint","Servicepoint"
"Show Service points","Show Service points"
"Close location details","Close location details"
"Opening hours","Opening hours"
"Please enter a postal code and city to search for DHL pickup locations.","Please enter a postal code and city to search for DHL pickup locations."
"DHL pickup locations could not be loaded.","DHL pickup locations could not be loaded."
"No DHL pickup locations were found for the specified address. Please try another address.","No DHL pickup locations were found for the specified address. Please try another address."
"DHL pickup location map could not be loaded.","DHL pickup location map could not be loaded."
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Your preferred drop-off location","Your preferred drop-off location"
"Remove drop-off location","Remove drop-off location"
"Remove preferred neighbor","Remove preferred neighbor"
